epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.858,2.47608,3.67861,1.99947,0.23956,0.09677,0.1164,0.04978,2.33333,3.09145,2.02382,0,0,0
2,19.719,2.72035,4.00292,2.08287,0.26957,0.10753,0.13997,0.06002,2.29961,2.98558,2.00096,1.63399e-05,1.63399e-05,1.63399e-05
3,28.5489,2.35574,3.41301,1.9612,0.23763,0.17045,0.182,0.07144,2.26334,2.76597,1.9651,3.20197e-05,3.20197e-05,3.20197e-05
4,37.4655,2.45704,3.20908,1.9761,0.24235,0.22043,0.23139,0.09246,2.23061,2.53627,1.93877,4.70394e-05,4.70394e-05,4.70394e-05
5,46.5278,2.49109,3.12365,1.88782,0.80411,0.23118,0.27054,0.109,2.19216,2.38432,1.90649,6.13989e-05,6.13989e-05,6.13989e-05
6,55.4873,2.44693,2.7716,1.83244,0.81566,0.25806,0.28523,0.11476,2.21113,2.31969,1.91513,7.50984e-05,7.50984e-05,7.50984e-05
7,64.1597,2.2849,2.33179,1.79296,0.73388,0.27879,0.27234,0.10873,2.23501,2.36472,1.91265,8.81376e-05,8.81376e-05,8.81376e-05
8,72.8747,2.20182,2.15297,1.73801,0.77902,0.22581,0.23301,0.08855,2.2587,2.47178,1.91505,0.000100517,0.000100517,0.000100517
9,81.8257,2.31912,2.11548,1.80365,0.25796,0.25294,0.19025,0.06951,2.28332,2.53125,1.92861,0.000112236,0.000112236,0.000112236
10,90.4034,2.16356,1.85163,1.72187,0.20362,0.27677,0.17596,0.06493,2.28338,2.64363,1.93792,0.000123295,0.000123295,0.000123295
11,98.9676,2.10209,1.67812,1.64901,0.26464,0.28473,0.22054,0.09181,2.28142,2.85837,1.92447,0.000133693,0.000133693,0.000133693
12,107.676,2.22583,1.73865,1.65296,0.32121,0.36645,0.28937,0.12795,2.28788,3.31597,1.93898,0.000143432,0.000143432,0.000143432
13,116.176,2.06053,1.66059,1.668,0.38228,0.32495,0.31791,0.14838,2.23439,3.34542,1.88164,0.00015251,0.00015251,0.00015251
14,124.732,2.06621,1.57518,1.63924,0.44042,0.33161,0.34753,0.16899,2.18906,3.08904,1.83962,0.000160929,0.000160929,0.000160929
15,133.63,1.9632,1.48824,1.54677,0.41914,0.39054,0.37051,0.18324,2.15713,2.70921,1.82088,0.000168687,0.000168687,0.000168687
16,142.507,2.01887,1.5269,1.57568,0.46008,0.39462,0.38764,0.19106,2.14158,2.37336,1.80545,0.000175785,0.000175785,0.000175785
17,151.315,1.90618,1.33366,1.5023,0.47955,0.38667,0.37966,0.18445,2.13654,2.36286,1.80815,0.000182223,0.000182223,0.000182223
18,160.292,2.05243,1.41088,1.56768,0.47955,0.38667,0.37966,0.18445,2.13654,2.36286,1.80815,0.000188001,0.000188001,0.000188001
19,168.937,1.80248,1.27584,1.46812,0.46359,0.39457,0.39935,0.18826,2.11702,2.48159,1.78294,0.000193119,0.000193119,0.000193119
20,178.123,1.89198,1.25647,1.49438,0.46359,0.39457,0.39935,0.18826,2.11702,2.48159,1.78294,0.000197576,0.000197576,0.000197576
21,186.937,1.99475,1.33993,1.51601,0.48555,0.40409,0.40833,0.19228,2.12085,2.66689,1.79166,0.000201374,0.000201374,0.000201374
22,195.519,1.75895,1.21385,1.44623,0.48555,0.40409,0.40833,0.19228,2.12085,2.66689,1.79166,0.000204511,0.000204511,0.000204511
23,204.558,1.85392,1.23202,1.41949,0.50573,0.41871,0.40355,0.18817,2.11898,2.83881,1.79846,0.000206988,0.000206988,0.000206988
24,213.467,1.86482,1.38635,1.47068,0.50573,0.41871,0.40355,0.18817,2.11898,2.83881,1.79846,0.000208805,0.000208805,0.000208805
25,223.108,1.94423,1.27925,1.50808,0.48385,0.40129,0.4051,0.19185,2.13841,2.85968,1.82027,0.000209962,0.000209962,0.000209962
