epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44858,2.45349,3.51417,1.96561,0.038,0.41667,0.06049,0.02208,2.08774,3.30317,1.62987,0,0,0
2,2.9259,2.56115,4.15555,2.0273,0.0506,0.44444,0.08374,0.03185,2.08192,3.17454,1.61201,1.63399e-05,1.63399e-05,1.63399e-05
3,4.34686,2.52817,3.53648,1.83965,0.76294,0.15471,0.14647,0.05474,2.0658,3.03677,1.60587,3.20197e-05,3.20197e-05,3.20197e-05
4,5.92174,2.50763,3.39589,1.91251,0.83416,0.16667,0.19269,0.07603,2.05005,2.83039,1.58755,4.70394e-05,4.70394e-05,4.70394e-05
5,7.61157,2.37061,3.40946,1.80428,0.86977,0.23722,0.29981,0.12849,2.02935,2.61351,1.58183,6.13989e-05,6.13989e-05,6.13989e-05
6,9.17298,2.23599,2.71099,1.93073,0.87412,0.33041,0.34214,0.15914,1.96239,2.46297,1.55054,7.50984e-05,7.50984e-05,7.50984e-05
7,10.7506,2.319,2.34957,1.94103,0.90561,0.35829,0.3799,0.16934,1.95242,2.31492,1.53893,8.81376e-05,8.81376e-05,8.81376e-05
8,12.3543,2.31719,1.88868,1.60294,0.53483,0.37882,0.3703,0.18979,1.9694,2.25106,1.56027,0.000100517,0.000100517,0.000100517
9,14.0525,2.22965,2.21354,1.60038,0.59039,0.37059,0.41046,0.20803,1.91172,2.18939,1.53826,0.000112236,0.000112236,0.000112236
10,15.6441,1.96183,2.0715,1.76636,0.76351,0.38889,0.43738,0.21626,1.92346,2.13299,1.54351,0.000123295,0.000123295,0.000123295
11,17.2419,2.07457,1.69783,1.62337,0.61044,0.38889,0.43397,0.21463,1.92534,2.03998,1.54252,0.000133693,0.000133693,0.000133693
12,18.683,2.21057,2.16916,1.8834,0.5774,0.45775,0.4671,0.24388,1.88727,1.74767,1.50024,0.000143432,0.000143432,0.000143432
13,20.2388,1.88252,1.36672,1.48216,0.56366,0.49196,0.50223,0.25048,1.86904,1.57238,1.46832,0.00015251,0.00015251,0.00015251
14,21.8436,1.85137,1.32516,1.44499,0.49679,0.55556,0.50914,0.26357,1.83399,1.51679,1.43262,0.000160929,0.000160929,0.000160929
15,23.426,1.87777,1.45546,1.64791,0.65395,0.52778,0.52374,0.25433,1.83473,1.52795,1.41665,0.000168687,0.000168687,0.000168687
16,24.8657,1.84816,1.38044,1.55595,0.60465,0.55556,0.51161,0.23982,1.84253,1.60304,1.42592,0.000175785,0.000175785,0.000175785
17,26.2392,1.89609,1.44779,1.63653,0.47713,0.58333,0.44944,0.21239,1.86804,1.6814,1.44079,0.000182223,0.000182223,0.000182223
18,27.5363,1.72403,1.39466,1.31899,0.47713,0.58333,0.44944,0.21239,1.86804,1.6814,1.44079,0.000188001,0.000188001,0.000188001
19,28.9674,1.80875,1.43827,1.34214,0.60264,0.5,0.49914,0.23706,1.87062,1.62976,1.44556,0.000193119,0.000193119,0.000193119
20,30.3322,1.85504,1.32971,1.35095,0.60264,0.5,0.49914,0.23706,1.87062,1.62976,1.44556,0.000197576,0.000197576,0.000197576
21,31.8157,1.84619,1.37441,1.49839,0.69062,0.52778,0.52087,0.26109,1.84585,1.55849,1.4364,0.000201374,0.000201374,0.000201374
22,33.1608,1.68243,1.21177,1.4431,0.69062,0.52778,0.52087,0.26109,1.84585,1.55849,1.4364,0.000204511,0.000204511,0.000204511
