epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.138,1.42957,1.6657,1.31562,0.9455,0.25143,0.28614,0.1772,1.40047,1.9979,1.361,0.00045728,0.00045728,0.00045728
2,679.8,1.22124,0.95698,1.17833,0.33609,0.2623,0.29017,0.1879,1.34036,1.07931,1.34767,0.000910459,0.000910459,0.000910459
3,1032.23,1.19194,0.92467,1.13165,0.93118,0.24055,0.28237,0.18322,1.29811,1.45593,1.30093,0.00134496,0.00134496,0.00134496
4,1345.45,1.1996,0.87316,1.14325,0.94375,0.25472,0.31608,0.206,1.23801,1.20405,1.24506,0.00134412,0.00134412,0.00134412
5,1647.55,1.18255,0.82514,1.12112,0.9584,0.26624,0.30616,0.20762,1.21774,0.92342,1.23429,0.00131582,0.00131582,0.00131582
6,1950.3,1.13394,0.76419,1.10555,0.62492,0.38154,0.35199,0.22964,1.18255,0.80313,1.19405,0.00128753,0.00128753,0.00128753
7,2253.74,1.09624,0.73823,1.07314,0.65898,0.35242,0.35937,0.2287,1.18879,0.85204,1.20055,0.00125923,0.00125923,0.00125923
8,2558.21,1.10138,0.74805,1.08852,0.96634,0.27875,0.35949,0.23383,1.13612,0.90258,1.18505,0.00123094,0.00123094,0.00123094
9,2875.02,1.07907,0.73996,1.08134,0.39363,0.34855,0.36279,0.23635,1.14096,0.77812,1.15787,0.00120265,0.00120265,0.00120265
10,3202.19,1.09493,0.72453,1.07941,0.6564,0.41325,0.35902,0.2353,1.11424,0.8192,1.16062,0.00117435,0.00117435,0.00117435
11,3530.37,1.05058,0.68417,1.06932,0.41185,0.38152,0.35472,0.23715,1.11835,0.75598,1.15871,0.00114606,0.00114606,0.00114606
12,3858.21,1.07842,0.69861,1.08009,0.55474,0.39584,0.42609,0.26637,1.12599,0.75099,1.16536,0.00111776,0.00111776,0.00111776
13,4188.44,1.03382,0.66261,1.06827,0.48648,0.39408,0.41681,0.26639,1.10435,0.73239,1.1579,0.00108947,0.00108947,0.00108947
14,4519.94,1.03619,0.678,1.06305,0.59271,0.40493,0.4249,0.26916,1.08498,0.75085,1.13397,0.00106118,0.00106118,0.00106118
15,4844.93,1.03496,0.67595,1.06462,0.68544,0.40594,0.45322,0.28026,1.07286,0.69913,1.13593,0.00103288,0.00103288,0.00103288
16,5174.85,1.02966,0.65801,1.07568,0.72937,0.38251,0.41521,0.26591,1.06693,0.70537,1.12642,0.00100459,0.00100459,0.00100459
17,5506.35,1.04552,0.67744,1.07574,0.49683,0.43567,0.45694,0.28204,1.06488,0.71001,1.11316,0.000976293,0.000976293,0.000976293
18,5838.27,1.01369,0.63864,1.03912,0.78665,0.43112,0.46072,0.28678,1.04221,0.65709,1.10364,0.000947999,0.000947999,0.000947999
19,6170.82,0.99986,0.63157,1.04604,0.52968,0.45643,0.47102,0.29422,1.066,0.65824,1.12093,0.000919704,0.000919704,0.000919704
20,6502.04,1.02022,0.64255,1.05926,0.67775,0.4325,0.47849,0.29553,1.04118,0.66919,1.10437,0.00089141,0.00089141,0.00089141
21,6841.01,1.0128,0.61561,1.05017,0.60542,0.49355,0.52215,0.32778,1.00279,0.61376,1.08665,0.000863116,0.000863116,0.000863116
22,7176.29,1.01176,0.61466,1.04326,0.67782,0.47879,0.52224,0.32615,1.01469,0.63162,1.09552,0.000834822,0.000834822,0.000834822
23,7513.86,1.00639,0.59621,1.02878,0.79261,0.4603,0.52936,0.32795,1.0038,0.60844,1.07887,0.000806528,0.000806528,0.000806528
24,7846.76,0.9649,0.58557,1.02617,0.75825,0.52352,0.58452,0.35791,1.00413,0.58663,1.08309,0.000778233,0.000778233,0.000778233
25,8182.13,0.95907,0.57964,1.02009,0.65284,0.52023,0.56908,0.34592,0.98145,0.5833,1.07549,0.000749939,0.000749939,0.000749939
26,8518.32,0.9724,0.59738,1.03075,0.63921,0.55209,0.58907,0.36797,0.97546,0.59018,1.0648,0.000721645,0.000721645,0.000721645
27,8865.05,0.97068,0.58791,1.03395,0.60563,0.58241,0.60011,0.3671,0.95581,0.57283,1.05433,0.000693351,0.000693351,0.000693351
28,9206.45,0.95719,0.57371,1.01918,0.74041,0.50969,0.57078,0.35559,0.94848,0.59718,1.05615,0.000665057,0.000665057,0.000665057
29,9543,0.94659,0.57971,1.01797,0.64854,0.59817,0.62298,0.39125,0.96122,0.55327,1.05473,0.000636762,0.000636762,0.000636762
30,9876.05,0.92954,0.55895,1.00848,0.6448,0.5856,0.62085,0.38876,0.94206,0.54564,1.04653,0.000608468,0.000608468,0.000608468
31,10214.2,0.92367,0.54491,1.01102,0.65632,0.62507,0.65538,0.41015,0.92586,0.52374,1.0426,0.000580174,0.000580174,0.000580174
32,10549.3,0.916,0.54456,1.00496,0.7516,0.62373,0.68775,0.42979,0.9369,0.52763,1.04148,0.00055188,0.00055188,0.00055188
33,10881.8,0.92711,0.54411,1.00825,0.73799,0.6029,0.66409,0.42575,0.90976,0.52063,1.03217,0.000523586,0.000523586,0.000523586
34,11213.1,0.92104,0.54114,1.00309,0.68524,0.65521,0.66971,0.41286,0.92929,0.54929,1.04506,0.000495291,0.000495291,0.000495291
35,11550.8,0.92832,0.53412,1.00266,0.7462,0.66962,0.71951,0.45433,0.90763,0.50668,1.03092,0.000466997,0.000466997,0.000466997
36,11889.8,0.89119,0.5077,0.97982,0.76233,0.67002,0.74959,0.47316,0.89459,0.49706,1.0181,0.000438703,0.000438703,0.000438703
37,12219.7,0.88473,0.50077,0.98763,0.73045,0.67182,0.72871,0.46641,0.90676,0.49682,1.0234,0.000410409,0.000410409,0.000410409
38,12518.9,0.89488,0.51012,0.99403,0.77868,0.69046,0.76615,0.49355,0.86795,0.48614,1.00817,0.000382115,0.000382115,0.000382115
39,12816.9,0.87815,0.49375,0.98046,0.7561,0.6809,0.75745,0.49844,0.86842,0.4726,1.00644,0.00035382,0.00035382,0.00035382
40,13115.6,0.88567,0.49658,0.98823,0.78538,0.75069,0.79681,0.51307,0.86047,0.47511,1.00062,0.000325526,0.000325526,0.000325526
41,13409.9,0.847,0.48769,0.98201,0.77805,0.69468,0.75893,0.49304,0.8619,0.47554,1.00855,0.000297232,0.000297232,0.000297232
42,13703.2,0.83886,0.46075,0.96609,0.76756,0.70634,0.76174,0.49587,0.86604,0.47037,1.00363,0.000268938,0.000268938,0.000268938
43,13997.6,0.83484,0.46995,0.97331,0.80141,0.75236,0.79411,0.5299,0.84224,0.45383,0.99214,0.000240644,0.000240644,0.000240644
44,14290.5,0.80611,0.43251,0.95308,0.80922,0.75858,0.8224,0.55017,0.83402,0.44817,0.99034,0.000212349,0.000212349,0.000212349
45,14582,0.83128,0.44763,0.9739,0.83219,0.75558,0.82492,0.55777,0.82349,0.43559,0.984,0.000184055,0.000184055,0.000184055
46,14873.5,0.79356,0.41823,0.95004,0.847,0.77208,0.83225,0.56566,0.81901,0.42883,0.97997,0.000155761,0.000155761,0.000155761
47,15163.6,0.79879,0.43013,0.955,0.83528,0.7894,0.82897,0.56196,0.80816,0.42505,0.97707,0.000127467,0.000127467,0.000127467
