epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.338,2.46266,3.91206,2.19522,0.04348,0.05578,0.02272,0.0081,2.39606,3.80845,2.09995,1.429e-05,1.429e-05,1.429e-05
2,35.7469,2.5645,3.8788,2.21827,0.04819,0.28573,0.06567,0.02742,2.38542,3.42531,2.08645,4.20212e-05,4.20212e-05,4.20212e-05
3,51.9662,2.45705,3.40811,2.14413,0.20522,0.19178,0.1524,0.06055,2.3726,2.82875,2.10426,6.86206e-05,6.86206e-05,6.86206e-05
4,68.51,2.33861,2.66943,2.1018,0.16662,0.25115,0.17595,0.07003,2.33315,2.77574,2.07967,9.40882e-05,9.40882e-05,9.40882e-05
5,86.0152,2.31485,2.47768,2.03366,0.43785,0.24356,0.19394,0.074,2.33053,3.37869,2.09891,0.000118424,0.000118424,0.000118424
6,103.627,2.25627,2.18499,1.97741,0.30506,0.284,0.1771,0.0638,2.38009,5.66551,2.17109,0.000141628,0.000141628,0.000141628
7,122.025,2.35671,2.03314,1.93785,0.21376,0.37633,0.16417,0.05784,2.37038,8.96033,2.18397,0.000163701,0.000163701,0.000163701
8,139.817,2.1967,1.94312,1.95788,0.25639,0.30481,0.20546,0.08168,2.32991,8.7269,2.1202,0.000184641,0.000184641,0.000184641
9,158.158,2.19114,1.80218,1.8483,0.33186,0.29621,0.22312,0.09069,2.32338,8.27121,2.10039,0.00020445,0.00020445,0.00020445
10,175.86,2.11494,1.70651,1.82775,0.25234,0.33315,0.23388,0.09429,2.32091,6.47773,2.08544,0.000223127,0.000223127,0.000223127
11,193.944,2.0418,1.75992,1.7965,0.31357,0.31579,0.25568,0.09772,2.31314,4.90244,2.07574,0.000240672,0.000240672,0.000240672
12,212.066,1.95854,1.64597,1.75044,0.33562,0.30173,0.28288,0.11376,2.29715,4.21268,2.04824,0.000257086,0.000257086,0.000257086
13,230.19,2.02285,1.70663,1.78639,0.41981,0.30926,0.31743,0.13363,2.28244,3.61144,2.0111,0.000272367,0.000272367,0.000272367
14,248.482,1.99133,1.60698,1.75131,0.40461,0.3414,0.31526,0.14322,2.27541,3.47365,1.97681,0.000286517,0.000286517,0.000286517
15,266.613,1.93235,1.56197,1.70003,0.3966,0.34007,0.3154,0.14002,2.27847,3.88197,1.96868,0.000299536,0.000299536,0.000299536
16,284.923,1.9902,1.58067,1.693,0.3543,0.30378,0.27673,0.11722,2.32585,4.86335,1.98988,0.000311422,0.000311422,0.000311422
17,303.617,1.97396,1.5356,1.67613,0.39096,0.29454,0.2641,0.10783,2.37286,5.46499,2.02265,0.000322177,0.000322177,0.000322177
18,322.003,1.92562,1.52468,1.668,0.32943,0.33094,0.2822,0.11047,2.37515,4.69652,2.01278,0.0003318,0.0003318,0.0003318
19,340.451,1.8838,1.46849,1.6275,0.38294,0.31539,0.30331,0.12733,2.3069,3.57084,1.95868,0.000340291,0.000340291,0.000340291
20,358.631,1.858,1.46639,1.61449,0.34008,0.37163,0.32795,0.13552,2.27263,2.89692,1.92432,0.00034765,0.00034765,0.00034765
21,376.572,1.78338,1.38615,1.56923,0.37711,0.38975,0.35653,0.14502,2.25305,2.61764,1.92991,0.000353878,0.000353878,0.000353878
22,394.328,1.71824,1.36652,1.57393,0.45903,0.36493,0.38066,0.15328,2.26661,2.42003,1.96482,0.000358973,0.000358973,0.000358973
23,412.413,1.76381,1.35665,1.54686,0.48507,0.37758,0.38484,0.151,2.28207,2.33592,2.03149,0.000362937,0.000362937,0.000362937
24,430.421,1.75432,1.39002,1.56508,0.45148,0.40459,0.37447,0.15107,2.29062,2.3308,2.0723,0.00036577,0.00036577,0.00036577
25,448.162,1.66705,1.26967,1.49037,0.33909,0.39141,0.33117,0.13576,2.32877,2.4198,2.1315,0.00036747,0.00036747,0.00036747
26,465.924,1.69673,1.24542,1.50383,0.29749,0.36028,0.29899,0.12492,2.32827,2.61079,2.12683,0.000368039,0.000368039,0.000368039
27,483.52,1.62153,1.24748,1.48592,0.33425,0.33542,0.30962,0.12872,2.33421,2.54273,2.10692,0.000367476,0.000367476,0.000367476
28,501.322,1.70931,1.20255,1.47633,0.33425,0.33542,0.30962,0.12872,2.33421,2.54273,2.10692,0.000365781,0.000365781,0.000365781
29,519.031,1.64726,1.2654,1.50221,0.31097,0.44392,0.34067,0.13742,2.33577,2.31653,2.09574,0.000362955,0.000362955,0.000362955
30,536.94,1.6292,1.21905,1.47952,0.33911,0.43928,0.33287,0.13484,2.36903,2.1845,2.12315,0.000358996,0.000358996,0.000358996
31,554.717,1.58719,1.16773,1.42953,0.33911,0.43928,0.33287,0.13484,2.36903,2.1845,2.12315,0.000353906,0.000353906,0.000353906
32,572.35,1.55812,1.16421,1.44516,0.41914,0.3823,0.34068,0.13671,2.40708,2.18953,2.12334,0.000347684,0.000347684,0.000347684
33,590.128,1.62332,1.14317,1.43698,0.44428,0.37603,0.36299,0.13856,2.42256,2.16346,2.12782,0.000340331,0.000340331,0.000340331
34,607.766,1.62072,1.15475,1.40625,0.44428,0.37603,0.36299,0.13856,2.42256,2.16346,2.12782,0.000331845,0.000331845,0.000331845
35,625.716,1.53181,1.11763,1.37542,0.43172,0.40239,0.36476,0.13875,2.42774,2.03622,2.12496,0.000322228,0.000322228,0.000322228
36,643.459,1.49306,1.09333,1.37654,0.44138,0.38165,0.35621,0.13494,2.4183,1.97764,2.1133,0.000311479,0.000311479,0.000311479
37,661.12,1.5478,1.05791,1.36801,0.44138,0.38165,0.35621,0.13494,2.4183,1.97764,2.1133,0.000299598,0.000299598,0.000299598
38,679.058,1.61375,1.12599,1.41833,0.39628,0.40623,0.35153,0.13847,2.44307,1.94813,2.11445,0.000286586,0.000286586,0.000286586
39,696.662,1.4176,1.02182,1.33728,0.36359,0.42432,0.34508,0.1387,2.45343,1.92738,2.11257,0.000272442,0.000272442,0.000272442
40,714.233,1.50305,1.09907,1.36622,0.36359,0.42432,0.34508,0.1387,2.45343,1.92738,2.11257,0.000257166,0.000257166,0.000257166
41,731.808,1.60364,1.31506,1.43262,0.37096,0.4185,0.35293,0.13628,2.45149,1.85703,2.1072,0.000240758,0.000240758,0.000240758
42,749.728,1.59946,1.34779,1.39487,0.43709,0.42662,0.36962,0.14239,2.45693,1.73157,2.11571,0.000223218,0.000223218,0.000223218
43,767.081,1.56244,1.12787,1.35167,0.43709,0.42662,0.36962,0.14239,2.45693,1.73157,2.11571,0.000204547,0.000204547,0.000204547
44,784.615,1.48013,1.07883,1.36776,0.44639,0.41709,0.37808,0.14657,2.44958,1.7102,2.11554,0.000184744,0.000184744,0.000184744
45,801.813,1.50649,1.12613,1.3623,0.44639,0.41709,0.37808,0.14657,2.44958,1.7102,2.11554,0.000163809,0.000163809,0.000163809
46,819.397,1.54634,1.04463,1.37574,0.46568,0.41498,0.37729,0.14727,2.43386,1.70118,2.10517,0.000141743,0.000141743,0.000141743
47,837.032,1.54465,1.09008,1.3544,0.46568,0.41498,0.37729,0.14727,2.43386,1.70118,2.10517,0.000118544,0.000118544,0.000118544
48,854.565,1.44699,1.0389,1.34588,0.54131,0.39602,0.39416,0.14847,2.41928,1.67187,2.09357,9.4214e-05,9.4214e-05,9.4214e-05
49,871.857,1.41151,1.04231,1.32932,0.54131,0.39602,0.39416,0.14847,2.41928,1.67187,2.09357,6.8752e-05,6.8752e-05,6.8752e-05
50,889.475,1.54292,1.14358,1.37203,0.45693,0.43395,0.40519,0.14971,2.42096,1.65387,2.09737,4.21584e-05,4.21584e-05,4.21584e-05
