epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79856,3.32711,4.36567,2.43738,0.00111,0.008,0.00056,0.00011,3.4206,4.54955,2.42614,0,0,0
2,7.76539,3.10074,4.00355,2.39695,0.00222,0.016,0.00115,0.00017,3.37966,4.36244,2.41401,1.9604e-05,1.9604e-05,1.9604e-05
3,11.7046,3.1527,3.97586,2.24837,0.00222,0.016,0.00135,0.00021,3.38574,4.07639,2.4024,3.8416e-05,3.8416e-05,3.8416e-05
4,15.6066,3.14268,3.57388,2.31394,0.0207,0.016,0.00462,0.00098,3.35699,3.70793,2.37757,5.6436e-05,5.6436e-05,5.6436e-05
5,19.3793,3.15045,3.30064,2.14832,0.10367,0.024,0.01447,0.00304,3.37298,3.26092,2.33659,7.3664e-05,7.3664e-05,7.3664e-05
6,23.0397,3.0118,2.7586,2.03806,0.1389,0.096,0.05019,0.00939,3.32659,2.88669,2.28392,9.01e-05,9.01e-05,9.01e-05
7,26.6516,3.10353,2.65957,2.13359,0.19041,0.224,0.09795,0.02542,3.27207,2.78805,2.23182,0.000105744,0.000105744,0.000105744
8,30.3387,2.92067,2.41481,1.99578,0.27279,0.248,0.1416,0.03892,3.12529,3.62522,2.11996,0.000120596,0.000120596,0.000120596
9,33.9925,2.82413,2.1206,1.91316,0.24325,0.32,0.19395,0.05091,2.9855,4.38057,1.99439,0.000134656,0.000134656,0.000134656
10,37.74,2.73995,2.20674,2.03582,0.27146,0.312,0.18702,0.05224,2.91497,4.17148,1.91012,0.000147924,0.000147924,0.000147924
11,41.541,2.70234,2.18044,1.88487,0.22242,0.328,0.18172,0.05351,2.87507,3.24057,1.84729,0.0001604,0.0001604,0.0001604
12,45.3212,2.64884,2.24505,2.07492,0.15993,0.496,0.17439,0.04984,2.86193,2.61281,1.79578,0.000172084,0.000172084,0.000172084
13,48.9324,2.56911,2.07681,1.82113,0.24012,0.232,0.17314,0.04956,2.80066,2.35063,1.7503,0.000182976,0.000182976,0.000182976
14,52.5767,2.5921,1.97856,1.71602,0.20933,0.32,0.19155,0.0501,2.75441,2.3245,1.73288,0.000193076,0.000193076,0.000193076
15,56.2808,2.45764,1.79669,1.70879,0.36334,0.28,0.2525,0.07146,2.71271,2.55426,1.71524,0.000202384,0.000202384,0.000202384
16,60.0421,2.31694,1.84705,1.85137,0.32853,0.336,0.28968,0.08446,2.70071,3.21419,1.71673,0.0002109,0.0002109,0.0002109
17,63.8905,2.22943,1.63032,1.70657,0.345,0.368,0.30196,0.09208,2.68358,3.66467,1.71336,0.000218624,0.000218624,0.000218624
18,67.5795,2.00539,1.74972,1.65926,0.345,0.368,0.30196,0.09208,2.68358,3.66467,1.71336,0.000225556,0.000225556,0.000225556
19,71.3981,2.20721,1.58818,1.64212,0.37368,0.424,0.33366,0.09155,2.66413,3.46822,1.68754,0.000231696,0.000231696,0.000231696
20,75.1476,2.42769,1.55947,1.77273,0.37368,0.424,0.33366,0.09155,2.66413,3.46822,1.68754,0.000237044,0.000237044,0.000237044
21,79.0472,2.22812,1.44019,1.67705,0.43149,0.448,0.34958,0.10075,2.63586,3.47673,1.65612,0.0002416,0.0002416,0.0002416
22,82.78,2.24917,1.48686,1.67246,0.43149,0.448,0.34958,0.10075,2.63586,3.47673,1.65612,0.000245364,0.000245364,0.000245364
23,86.7261,2.2823,1.53716,1.69283,0.50594,0.49976,0.42079,0.11416,2.62134,3.99556,1.6202,0.000248336,0.000248336,0.000248336
24,90.4988,2.18989,1.37013,1.5167,0.50594,0.49976,0.42079,0.11416,2.62134,3.99556,1.6202,0.000250516,0.000250516,0.000250516
